,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_questions,consequent_questions,support_pct,confidence_pct
3294517,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q77_30.573116001834602'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[77],100.0,100.0
3294516,"frozenset({'Q29_Nutzung quad Newsletter', 'Q77_30.573116001834602'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 77]",[30],100.0,100.0
3294515,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q77_48.75560286184606'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 77]",100.0,100.0
3294514,frozenset({'Q77_48.75560286184606'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[77],"[29, 30]",100.0,100.0
3294529,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q88_Nutzung Smartphone.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[88],100.0,100.0
3294531,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q88_Nutzung Smartphone.1', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[88, 30]",100.0,100.0
3294476,"frozenset({'Q76_83.2695611882146', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[76, 30]",[29],100.0,100.0
3294532,frozenset({'Q88_Nutzung Smartphone.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[88],"[29, 30]",100.0,100.0
3294547,"frozenset({'Q108_Beruf', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 30]",[108],100.0,100.0
3294546,"frozenset({'Q108_Beruf', 'Q108_Personen im Haushalt.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 108]",[30],100.0,100.0
3294545,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[108, 30]",100.0,100.0
3294544,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[108, 108]",100.0,100.0
3294543,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[30, 108]",100.0,100.0
3294542,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[108],100.0,100.0
3294541,"frozenset({'Q108_Personen im Haushalt.2', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 108]",[30],100.0,100.0
3294540,"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 30]",[108],100.0,100.0
3294539,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q88_Berufstätigkeit des Befragten.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 88]",100.0,100.0
3294538,frozenset({'Q88_Berufstätigkeit des Befragten.2'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[88],"[29, 30]",100.0,100.0
3294537,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q88_Berufstätigkeit des Befragten.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[88, 30]",100.0,100.0
3294536,"frozenset({'Q88_Berufstätigkeit des Befragten.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[88, 30]",[29],100.0,100.0
3294535,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q88_Berufstätigkeit des Befragten.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[88],100.0,100.0
3294534,"frozenset({'Q29_Nutzung quad Newsletter', 'Q88_Berufstätigkeit des Befragten.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 88]",[30],100.0,100.0
3294533,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q88_Nutzung Smartphone.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 88]",100.0,100.0
3294513,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q77_48.75560286184606', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[77, 30]",100.0,100.0
3294512,"frozenset({'Q77_48.75560286184606', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[77, 30]",[29],100.0,100.0
3294511,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q77_48.75560286184606'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[77],100.0,100.0
3294510,"frozenset({'Q29_Nutzung quad Newsletter', 'Q77_48.75560286184606'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 77]",[30],100.0,100.0
3294491,frozenset({'Q62_BIK-Stadtregion (in Tausend).4'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[62],"[29, 30]",100.0,100.0
3294490,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q62_BIK-Stadtregion (in Tausend).4'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 62]",100.0,100.0
3294489,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q62_BIK-Stadtregion (in Tausend).4'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[30, 62]",100.0,100.0
3294488,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q62_BIK-Stadtregion (in Tausend).4'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 62]",[29],100.0,100.0
3294487,"frozenset({'Q29_Nutzung quad Newsletter', 'Q62_BIK-Stadtregion (in Tausend).4'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 62]",[30],100.0,100.0
3294486,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q62_BIK-Stadtregion (in Tausend).4'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[62],100.0,100.0
3294485,frozenset({'Q76_80.46947200696766'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[76],"[29, 30]",100.0,100.0
3294484,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q76_80.46947200696766'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 76]",100.0,100.0
3294483,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q76_80.46947200696766'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[30, 76]",100.0,100.0
3294482,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q76_80.46947200696766'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 76]",[29],100.0,100.0
3294481,"frozenset({'Q29_Nutzung quad Newsletter', 'Q76_80.46947200696766'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 76]",[30],100.0,100.0
3294480,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q76_80.46947200696766'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[76],100.0,100.0
3294479,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q76_83.2695611882146'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 76]",100.0,100.0
3294478,frozenset({'Q76_83.2695611882146'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[76],"[29, 30]",100.0,100.0
3294477,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q76_83.2695611882146', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[76, 30]",100.0,100.0
3294492,"frozenset({'Q62_Beruf.1', 'Q29_Nutzung quad Newsletter'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[62, 29]",[30],100.0,100.0
3294493,"frozenset({'Q62_Beruf.1', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[62, 30]",[29],100.0,100.0
3294494,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q62_Beruf.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[62],100.0,100.0
3294503,frozenset({'Q62_Bundesländer.5'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[62],"[29, 30]",100.0,100.0
3294509,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q77_20.967204025320665'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 77]",100.0,100.0
3294508,frozenset({'Q77_20.967204025320665'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[77],"[29, 30]",100.0,100.0
3294507,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q77_20.967204025320665', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[77, 30]",100.0,100.0
3294506,"frozenset({'Q77_20.967204025320665', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[77, 30]",[29],100.0,100.0
3294505,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q77_20.967204025320665'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[77],100.0,100.0
3294504,"frozenset({'Q29_Nutzung quad Newsletter', 'Q77_20.967204025320665'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 77]",[30],100.0,100.0
3294502,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q62_Bundesländer.5'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[29, 62]",100.0,100.0
3294495,frozenset({'Q62_Beruf.1'}),"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[62],"[29, 30]",100.0,100.0
3294501,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q62_Bundesländer.5'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[30, 62]",100.0,100.0
3294500,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q62_Bundesländer.5'})",frozenset({'Q29_Nutzung quad Newsletter'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 62]",[29],100.0,100.0
3294499,"frozenset({'Q29_Nutzung quad Newsletter', 'Q62_Bundesländer.5'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 62]",[30],100.0,100.0
3294498,"frozenset({'Q29_Nutzung quad Newsletter', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q62_Bundesländer.5'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[29, 30]",[62],100.0,100.0
3294497,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q62_Beruf.1', 'Q29_Nutzung quad Newsletter'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[62, 29]",100.0,100.0
3294496,frozenset({'Q29_Nutzung quad Newsletter'}),"frozenset({'Q62_Beruf.1', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[29],"[62, 30]",100.0,100.0
3294699,frozenset({'Q76_94.55611866412475'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[76],"[108, 30]",100.0,100.0
3294701,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q76_94.55611866412475', 'Q108_Personen im Haushalt.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[76, 108]",100.0,100.0
3295002,"frozenset({'Q108_Beruf', 'Q109_Digitalisierung ist eher positiv als negativ'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 109]",[30],100.0,100.0
3294908,"frozenset({'Q108_Arbeitswochenstunden.2', 'Q89_BKK.5'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 89]",[30],100.0,100.0
3294906,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q89_BKK.5'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[89],100.0,100.0
3294905,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q89_BKK', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[89, 30]",100.0,100.0
3294904,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q89_BKK', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[89, 108]",100.0,100.0
3294903,frozenset({'Q89_BKK'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[89],"[30, 108]",100.0,100.0
3294902,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q89_BKK'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[89],100.0,100.0
3294901,"frozenset({'Q89_BKK', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[89, 108]",[30],100.0,100.0
3294900,"frozenset({'Q89_BKK', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[89, 30]",[108],100.0,100.0
3294899,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q59_Geschlecht.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[30, 59]",100.0,100.0
3294898,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q59_Geschlecht.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[59, 108]",100.0,100.0
3294897,frozenset({'Q59_Geschlecht.1'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[59],"[30, 108]",100.0,100.0
3294896,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q59_Geschlecht.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[59],100.0,100.0
3294895,"frozenset({'Q59_Geschlecht.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[59, 108]",[30],100.0,100.0
3294894,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q59_Geschlecht.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 59]",[108],100.0,100.0
3294893,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q59_Geschlecht', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[59, 30]",100.0,100.0
3294892,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q59_Geschlecht', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[59, 108]",100.0,100.0
3294907,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q89_BKK.5'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 89]",[108],100.0,100.0
3294909,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q108_Arbeitswochenstunden.2', 'Q89_BKK.5'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[108, 89]",100.0,100.0
3294890,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q59_Geschlecht'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[59],100.0,100.0
3294910,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q89_BKK.5'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[30, 89]",100.0,100.0
3294925,"frozenset({'Q76_83.2695611882146', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[76, 108]",[30],100.0,100.0
3294924,"frozenset({'Q76_83.2695611882146', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[76, 30]",[108],100.0,100.0
3294923,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q76_94.55611866412475', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[76, 30]",100.0,100.0
3294922,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q76_94.55611866412475', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[76, 108]",100.0,100.0
3294921,frozenset({'Q76_94.55611866412475'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[76],"[30, 108]",100.0,100.0
3294920,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q76_94.55611866412475'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[76],100.0,100.0
3294919,"frozenset({'Q76_94.55611866412475', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[76, 108]",[30],100.0,100.0
3294918,"frozenset({'Q76_94.55611866412475', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[76, 30]",[108],100.0,100.0
3294917,frozenset({'Q108_Arbeitswochenstunden.2'}),"frozenset({'Q89_BKK (Fortsetzung).17', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[89, 30]",100.0,100.0
3294916,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q89_BKK (Fortsetzung).17', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[89, 108]",100.0,100.0
3294915,frozenset({'Q89_BKK (Fortsetzung).17'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[89],"[30, 108]",100.0,100.0
3294914,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q89_BKK (Fortsetzung).17'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 108]",[89],100.0,100.0
3294913,"frozenset({'Q89_BKK (Fortsetzung).17', 'Q108_Arbeitswochenstunden.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[89, 108]",[30],100.0,100.0
3294912,"frozenset({'Q89_BKK (Fortsetzung).17', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Arbeitswochenstunden.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[89, 30]",[108],100.0,100.0
3294911,frozenset({'Q89_BKK.5'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q108_Arbeitswochenstunden.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[89],"[30, 108]",100.0,100.0
