,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_questions,consequent_questions,support_pct,confidence_pct
3294623,frozenset({'Q99_Vergleich Kassensysteme.1'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[99],"[108, 30]",100.0,100.0
3294622,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q99_Vergleich Kassensysteme.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[30, 99]",100.0,100.0
3294621,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q99_Vergleich Kassensysteme.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[108, 99]",100.0,100.0
3294620,"frozenset({'Q108_Personen im Haushalt.2', 'Q99_Vergleich Kassensysteme.1'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 99]",[30],100.0,100.0
3294619,"frozenset({'Q30_Berufstätigkeit des Befragten.1', 'Q99_Vergleich Kassensysteme.1'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[30, 99]",[108],100.0,100.0
3294618,"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q99_Vergleich Kassensysteme.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 30]",[99],100.0,100.0
3294617,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q108_Personen im Haushalt.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[99, 108]",100.0,100.0
3294616,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[99, 30]",100.0,100.0
3294615,frozenset({'Q99_Gesetzliche Krankenkasse.2'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[99],"[108, 30]",100.0,100.0
3294614,"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q99_Gesetzliche Krankenkasse.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[108, 30]",[99],100.0,100.0
3294613,"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[99, 30]",[108],100.0,100.0
3294612,"frozenset({'Q99_Gesetzliche Krankenkasse.2', 'Q108_Personen im Haushalt.2'})",frozenset({'Q30_Berufstätigkeit des Befragten.1'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[99, 108]",[30],100.0,100.0
3294611,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q99_Zuf. Aktive Betreuung.2', 'Q108_Personen im Haushalt.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[99, 108]",100.0,100.0
3294610,frozenset({'Q108_Personen im Haushalt.2'}),"frozenset({'Q99_Zuf. Aktive Betreuung.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[108],"[99, 30]",100.0,100.0
3294609,frozenset({'Q99_Zuf. Aktive Betreuung.2'}),"frozenset({'Q108_Personen im Haushalt.2', 'Q30_Berufstätigkeit des Befragten.1'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[99],"[108, 30]",100.0,100.0
3294589,"frozenset({'Q98_Haushaltstypologie.4', 'Q30_Berufstätigkeit des Befragten.1'})",frozenset({'Q108_Personen im Haushalt.2'}),1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,"[98, 30]",[108],100.0,100.0
3294587,frozenset({'Q30_Berufstätigkeit des Befragten.1'}),"frozenset({'Q28_Berufstätigkeit des Befragten.4', 'Q108_Personen im Haushalt.2'})",1.0,1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0,1.0,0.0,1.0,[30],"[28, 108]",100.0,100.0
